technology,dst_region,region,installed,agent,sector,type,year,capacity
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],UK,UK,2010,A1,building,newcapa,2010,1.61400000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2010,A1,building,newcapa,2010,0.98500000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2010,A1,building,newcapa,2010,1.38000000000
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,UK,2010,A1,building,newcapa,2010,1.21680000000
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],UK,UK,2010,A1,building,newcapa,2010,0.60160000000
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],UK,UK,2010,A1,building,newcapa,2010,0.01090000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2010,A1,building,newcapa,2010,2.06300000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,UK,2010,A1,building,newcapa,2010,0.26980000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,UK,2010,A1,building,newcapa,2010,0.61730000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,UK,2010,A1,building,newcapa,2010,1.01800000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,UK,2010,A1,building,newcapa,2010,55.98960000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,UK,2010,A1,building,newcapa,2010,29.53310000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,UK,2010,A1,building,newcapa,2010,0.55230000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2010,A1,building,newcapa,2010,0.53970000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2010,A1,building,newcapa,2010,1.38950000000
RHEABLCRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.CON.RADIATOR.],UK,UK,2010,A1,building,newcapa,2010,234.56720000000
RHEABLRRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.STD.RADIATOR.],UK,UK,2010,A1,building,newcapa,2010,666.27030000000
RHEASHTRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.HEATER.STANDALONE.],UK,UK,2010,A1,building,newcapa,2010,16.31290000000
RWEAWHTRG00 [RES.WATER.EXISTING-AVERAGE: .00.NGA.BOILER.STD.STANDALONE.],UK,UK,2010,A1,building,newcapa,2010,2.71880000000
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],UK,UK,2010,A2,building,newcapa,2010,1.67700000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2010,A2,building,newcapa,2010,1.02340000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2010,A2,building,newcapa,2010,1.43390000000
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,UK,2010,A2,building,newcapa,2010,1.26430000000
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],UK,UK,2010,A2,building,newcapa,2010,0.62500000000
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],UK,UK,2010,A2,building,newcapa,2010,0.00940000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2010,A2,building,newcapa,2010,2.14350000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,UK,2010,A2,building,newcapa,2010,0.28030000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,UK,2010,A2,building,newcapa,2010,0.64140000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,UK,2010,A2,building,newcapa,2010,1.05770000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,UK,2010,A2,building,newcapa,2010,58.17440000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,UK,2010,A2,building,newcapa,2010,30.68560000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,UK,2010,A2,building,newcapa,2010,0.57380000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2010,A2,building,newcapa,2010,0.56080000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2010,A2,building,newcapa,2010,1.44380000000
RHEABLCRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.CON.RADIATOR.],UK,UK,2010,A2,building,newcapa,2010,203.04980000000
RHEABLRRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.STD.RADIATOR.],UK,UK,2010,A2,building,newcapa,2010,576.74760000000
RHEASHTRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.HEATER.STANDALONE.],UK,UK,2010,A2,building,newcapa,2010,14.12110000000
RWEAWHTRG00 [RES.WATER.EXISTING-AVERAGE: .00.NGA.BOILER.STD.STANDALONE.],UK,UK,2010,A2,building,newcapa,2010,2.35350000000
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],UK,UK,2010,A3,building,newcapa,2010,2.07140000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2010,A3,building,newcapa,2010,1.26410000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2010,A3,building,newcapa,2010,1.77110000000
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,UK,2010,A3,building,newcapa,2010,1.56160000000
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],UK,UK,2010,A3,building,newcapa,2010,0.77200000000
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],UK,UK,2010,A3,building,newcapa,2010,0.01060000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2010,A3,building,newcapa,2010,2.64760000000
